"","gene","distance","Z","FC","p.value","p.adj"
"1137","Gm17518",5.00872198552963e-18,-1.19252448253269,2.85924550206214e-19,0.999999999573356,0.999999999998216
"2075","Gm26569",5.00070238574181e-18,-1.19275927710069,2.85009680194917e-19,0.999999999574039,0.999999999998216
"1278","Gm26538",4.99432215747607e-18,-1.19294634014962,2.84282875581265e-19,0.999999999574582,0.999999999998216
"376","Pcdhb13",4.98686050474408e-18,-1.19316540882039,2.8343405748414e-19,0.999999999575218,0.999999999998216
"2669","Gm20324",4.98629079301752e-18,-1.19318214841811,2.83369300716871e-19,0.999999999575267,0.999999999998216
"1004","Ucn2",4.98083557413032e-18,-1.19334253234639,2.82749603223675e-19,0.999999999575731,0.999999999998216
"26","Ovol2",4.96967330222549e-18,-1.19367124461683,2.81483714641582e-19,0.999999999576682,0.999999999998216
"1931","5730422E09Rik",4.96432588410071e-18,-1.19382897610107,2.80878281964254e-19,0.999999999577137,0.999999999998216
"1337","Gm42691",4.96183878538992e-18,-1.19390239452869,2.80596915656325e-19,0.999999999577349,0.999999999998216
"279","Gm26848",4.96038628284423e-18,-1.19394528876486,2.80432658776039e-19,0.999999999577473,0.999999999998216
"348","1810012K16Rik",4.95505444320881e-18,-1.19410285096684,2.79830117649253e-19,0.999999999577927,0.999999999998216
"1087","CR974586.5",4.95113279594104e-18,-1.19421884703815,2.79387353289897e-19,0.999999999578261,0.999999999998216
"276","Mei4",4.94660467318593e-18,-1.1943528944273,2.78876552316818e-19,0.999999999578647,0.999999999998216
"1157","Tex14",4.94540591925806e-18,-1.19438840175745,2.78741403511884e-19,0.999999999578749,0.999999999998216
"1010","Gm42788",4.94200591250742e-18,-1.19448915682256,2.78358261304518e-19,0.999999999579039,0.999999999998216
"2638","Itk",4.93181812708973e-18,-1.19479146918172,2.77211791116237e-19,0.999999999579907,0.999999999998216
"1433","Cyp2f2",4.92955921352447e-18,-1.19485858358184,2.76957907436384e-19,0.999999999580099,0.999999999998216
"915","Jph3",4.92936944350559e-18,-1.19486422320434,2.76936584111763e-19,0.999999999580115,0.999999999998216
"920","Adam7",4.925647224745e-18,-1.19497488412852,2.76518506558553e-19,0.999999999580432,0.999999999998216
"445","Gm6583",4.92336633280773e-18,-1.19504273540398,2.7626247409259e-19,0.999999999580626,0.999999999998216
"1463","Arhgef33",4.91324531642721e-18,-1.19534418667343,2.7512781016764e-19,0.999999999581489,0.999999999998216
