"","gene","distance","Z","FC","p.value","p.adj"
"1489","Dnase1l3",3.85328156125412e-13,-0.575365984535229,7.43011076267833e-09,0.999931223874704,0.999999999774867
"732","Gm29094",3.84990582953027e-13,-0.575552262741751,7.41709791976225e-09,0.999931284127178,0.999999999774867
"1053","Mmp28",3.84541870121011e-13,-0.575800119029427,7.39981849706847e-09,0.999931364216654,0.999999999774867
"425","Gpr55",3.84228941262221e-13,-0.575973140926784,7.38777988828749e-09,0.999931420070434,0.999999999774867
"745","Hist2h3c2",3.84001601916517e-13,-0.576098926573146,7.37904011886699e-09,0.999931460647587,0.999999999774867
"2304","Lgals4",3.8240009162181e-13,-0.576987119743043,7.31761867946920e-09,0.999931746496598,0.999999999774867
"1097","Scn2b",3.81016228081576e-13,-0.577757565505353,7.26475121202968e-09,0.99993199349846,0.999999999774867
"519","Hap1",3.80736117443393e-13,-0.577913848713988,7.25407352462477e-09,0.99993204349461,0.999999999774867
"1138","Carns1",3.80368153964798e-13,-0.578119320363141,7.24005886112687e-09,0.999932109171363,0.999999999774867
"91","Zfp108",3.80102291264422e-13,-0.578267900698731,7.22994135324636e-09,0.999932156624439,0.999999999774867
"1780","Adam11",3.79759278179772e-13,-0.578459748844966,7.216898309025e-09,0.999932217847868,0.999999999774867
"2387","Nwd1",3.78882909127225e-13,-0.578950681396396,7.18362792437827e-09,0.999932374268484,0.999999999774867
"839","2610528A11Rik",3.78171040525343e-13,-0.579350287373623,7.15665919613484e-09,0.999932501327883,0.999999999774867
"928","E430024P14Rik",3.77603465910964e-13,-0.579669425985446,7.13519330114627e-09,0.99993260263266,0.999999999774867
"961","Pcdhgc3",3.77489652718138e-13,-0.579733478348304,7.13089272225737e-09,0.999932622946853,0.999999999774867
"2268","Glrp1",3.7737705436433e-13,-0.579796865758056,7.12663932338068e-09,0.999932643044212,0.999999999774867
"2567","Zfp39",3.76303679009943e-13,-0.580402061907598,7.08615630999972e-09,0.999932834627922,0.999999999774867
"1993","Cldn1",3.75683026893531e-13,-0.58075277836198,7.06280064684947e-09,0.999932945406351,0.999999999774867
"1","Eaf2",3.75008807256979e-13,-0.581134412571974,7.03747288066881e-09,0.999933065745893,0.999999999774867
"1659","Gulp1",3.73902290434366e-13,-0.581762212249576,6.99600402162344e-09,0.999933263244929,0.999999999774867
"1390","Tshz3",3.73521814657716e-13,-0.581978504458785,6.98177326760944e-09,0.999933331154967,0.999999999774867
"508","Nrxn3",3.71450674275297e-13,-0.583159725919183,6.90456148649306e-09,0.999933700826915,0.999999999774867
"1262","6430531B16Rik",3.70908022472709e-13,-0.583470287025546,6.88440249275134e-09,0.99993379768329,0.999999999774867
"681","Gm33973",3.70614864477425e-13,-0.583638248581531,6.87352421602164e-09,0.999933850008226,0.999999999774867
"488","Serinc4",3.70220220506897e-13,-0.583864562365649,6.85889366061799e-09,0.999933920447104,0.999999999774867
"2148","9130023H24Rik",3.68354434588334e-13,-0.584937752700254,6.78993481054839e-09,0.999934253465919,0.999999999774867
"1642","Rab11fip4os1",3.68285435887107e-13,-0.584977543087792,6.78739132112145e-09,0.9999342657813,0.999999999774867
"1686","Zic4",3.66745811585915e-13,-0.585867335596154,6.73076030439898e-09,0.999934540584457,0.999999999774867
"1752","9330159F19Rik",3.6652809368418e-13,-0.58599345808189,6.72277127223373e-09,0.999934579444305,0.999999999774867
"2844","BC048403",3.6601640229769e-13,-0.586290168440183,6.70401373076071e-09,0.999934670774643,0.999999999774867
"1493","Tnfrsf25",3.65882600926204e-13,-0.586367822218365,6.69911317291306e-09,0.999934694656469,0.999999999774867
"920","Ppargc1a",3.6389285592786e-13,-0.587525918625567,6.62644897659404e-09,0.999935049800387,0.999999999774867
"2012","Gm10605",3.63690493488683e-13,-0.587644049752723,6.61908103021325e-09,0.999935085919482,0.999999999774867
"1872","Gm807",3.63096393531012e-13,-0.587991236428991,6.59747373508945e-09,0.999935191958692,0.999999999774867
"2005","Gm4890",3.62797998876745e-13,-0.588165826949441,6.58663450889444e-09,0.999935245218304,0.999999999774867
"765","Dnase1l2",3.6260277975792e-13,-0.588280126162289,6.57954797016607e-09,0.999935280062409,0.999999999774867
"2204","Cttnbp2",3.6235849024188e-13,-0.588423241193449,6.57068552759113e-09,0.999935323664948,0.999999999774867
"583","Rarres1",3.62253589899093e-13,-0.588484725406392,6.5668817398304e-09,0.999935342388312,0.999999999774867
"410","Gm17334",3.61949461354577e-13,-0.588663080574988,6.55585997010561e-09,0.99993539667135,0.999999999774867
"2727","Fastkd1",3.61815179157177e-13,-0.588741876949934,6.55099646248537e-09,0.999935420638996,0.999999999774867
"528","Scrn1",3.59811702065892e-13,-0.589920947855797,6.47864773732632e-09,0.999935778233916,0.999999999774867
"2062","Gm10031",3.58234988044768e-13,-0.590853424172517,6.4219925847257e-09,0.999936059657112,0.999999999774867
"800","Penk",3.57405998374816e-13,-0.591345317079439,6.3923047773252e-09,0.999936207621117,0.999999999774867
"1086","Coro6",3.57316343323139e-13,-0.591398582584388,6.38909816894942e-09,0.999936223623392,0.999999999774867
"864","Nrtn",3.56986412217051e-13,-0.591594713489603,6.37730475920109e-09,0.999936282511855,0.999999999774867
"2546","9930012K11Rik",3.56911368568251e-13,-0.591639348899302,6.37462383970118e-09,0.999936295906182,0.999999999774867
"1579","Hk1os",3.53406391402192e-13,-0.593734459655304,6.25003714451733e-09,0.999936921499574,0.999999999774867
