"","gene","distance","Z","FC","p.value","p.adj"
"2017","Galc",2.53214354507115e-13,-0.381657363883379,1.38721083172309e-06,0.999060252461798,0.999999999237769
"2739","Ano10",2.53129857488246e-13,-0.38171489069681,1.38628516838272e-06,0.999060566053138,0.999999999237769
"363","Ccdc45",2.52576524157028e-13,-0.382092053937405,1.38023104742873e-06,0.999062619623116,0.999999999237769
"1573","Plekhg5",2.52302473260688e-13,-0.382279139653348,1.37723751229799e-06,0.999063636700278,0.999999999237769
"420","Upp1",2.50120586529213e-13,-0.383775479897552,1.35352008418561e-06,0.999071734273431,0.999999999237769
"2871","Casp8ap2",2.49549829409994e-13,-0.38416892580709,1.34734986201777e-06,0.999073852507844,0.999999999237769
"435","Syt11",2.48291082072194e-13,-0.385039622945785,1.33379188242946e-06,0.999078524060508,0.999999999237769
"1219","Slc39a10",2.47950147784144e-13,-0.385276165589348,1.33013147563468e-06,0.999079789360097,0.999999999237769
"947","Zfp408",2.47943697781923e-13,-0.385280643586559,1.33006227430965e-06,0.999079813297804,0.999999999237769
"2912","Kif16b",2.47644105902955e-13,-0.385488759604972,1.32684997152425e-06,0.999080925164504,0.999999999237769
"2637","Dip2b",2.47097150587714e-13,-0.385869320214387,1.32099539074791e-06,0.999082955063996,0.999999999237769
"1758","Cdc42ep5",2.462425082204e-13,-0.386465548082183,1.31187326037074e-06,0.999086126873586,0.999999999237769
"2946","Nrf1",2.44792150139546e-13,-0.387481823686073,1.2964650140246e-06,0.999091509545769,0.999999999237769
"2850","Prmt3",2.44352344349611e-13,-0.387791114617682,1.29181061149692e-06,0.999093141784341,0.999999999237769
"1939","Tcof1",2.4357960641924e-13,-0.388335805007665,1.28365310711945e-06,0.999096009624395,0.999999999237769
"1338","Atp11a",2.3855819546173e-13,-0.391915312548863,1.23127343481573e-06,0.999114645442728,0.999999999237769
"1367","Clec1b",2.3833404416977e-13,-0.392076741191615,1.22896069206001e-06,0.999115477328994,0.999999999237769
"2734","Prpf40b",2.38321386385677e-13,-0.392085861285856,1.22883015673453e-06,0.999115524305466,0.999999999237769
"2089","Zc3h8",2.36398682613539e-13,-0.39347649729725,1.20908248960684e-06,0.999122659980916,0.999999999237769
"526","Pip4k2a",2.35624390776127e-13,-0.394039518525138,1.20117508908867e-06,0.999125533588059,0.999999999237769
"2865","Dock1",2.34684824898941e-13,-0.394725052831479,1.1916146783239e-06,0.999129020572032,0.999999999237769
"869","Slc39a6",2.33619488469311e-13,-0.395505474063942,1.18082071933497e-06,0.999132974324681,0.999999999237769
"542","Vcam1",2.33405345614863e-13,-0.395662749056925,1.17865695783155e-06,0.99913376906694,0.999999999237769
"2269","Zbtb40",2.32696031041586e-13,-0.396184666111231,1.17150400936801e-06,0.999136401525861,0.999999999237769
"2544","Fam124a",2.32525198383299e-13,-0.396310588552283,1.16978453284264e-06,0.999137035532229,0.999999999237769
"465","Arid3b",2.31449194722243e-13,-0.397105721687903,1.15898329351717e-06,0.999141028873913,0.999999999237769
"642","Vopp1",2.30814200380223e-13,-0.397576591044449,1.15263254101708e-06,0.999143385510304,0.999999999237769
"136","1700028E10Rik",2.30652326999178e-13,-0.397696819861794,1.1510163917474e-06,0.999143986266368,0.999999999237769
