"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"hemopoiesis (GO:0030097)","1/94",0.308003475591604,0.388496824504313,0,0,2.76902667225248,3.26092823257648,"INHBA"
"regulation of vesicle-mediated transport (GO:0060627)","1/96",0.313416039085807,0.394471911263171,0,0,2.71045796308954,3.14473776364498,"OPHN1"
"positive regulation of transcription, DNA-templated (GO:0045893)","6/1183",0.314326197269878,0.394766664958298,0,0,1.32717360521099,1.53596984887586,"THRA;CTBP2;PPARG;INHBA;SSBP2;PPARGC1B"
"protein maturation (GO:0051604)","1/97",0.316106627094531,0.395302505831277,0,0,2.68208874458874,3.08889641843077,"XPNPEP3"
"regulation of MAP kinase activity (GO:0043405)","1/97",0.316106627094531,0.395302505831277,0,0,2.68208874458874,3.08889641843077,"PDGFC"
"positive regulation of defense response (GO:0031349)","1/98",0.318786805828229,0.397802338896764,0,0,2.65430445842817,3.03448770547949,"POLR3F"
"response to UV (GO:0009411)","1/99",0.321456615084579,0.400278599593591,0,0,2.62708719851577,2.98146205683934,"EIF2AK4"
"organic acid transport (GO:0015849)","1/100",0.324116094429913,0.402731487546956,0,0,2.60041978223796,2.92977207832515,"SLC10A5"
"cellular response to chemical stress (GO:0062197)","1/101",0.3267652833403,0.405161200574809,0,0,2.57428571428571,2.879372432986,"BRF2"
"protein O-linked glycosylation (GO:0006493)","1/102",0.329404221096676,0.405848238650757,0,0,2.54866915262955,2.83021973378044,"C1GALT1"
"cell junction assembly (GO:0034329)","1/102",0.329404221096676,0.405848238650757,0,0,2.54866915262955,2.83021973378044,"OPHN1"
"regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)","1/102",0.329404221096676,0.405848238650757,0,0,2.54866915262955,2.83021973378044,"GLMN"
"chromatin remodeling (GO:0006338)","1/103",0.332032946860945,0.408225770456404,0,0,2.52355487649605,2.78227244145478,"KDM4C"
"steroid metabolic process (GO:0008202)","1/104",0.334651499613662,0.410580831458779,0,0,2.49892825620981,2.73549076971601,"ARV1"
"protein processing (GO:0016485)","1/106",0.339858241535628,0.414357438531956,0,0,2.45108225108225,2.64527337243436,"XPNPEP3"
"positive regulation of protein serine/threonine kinase activity (GO:0071902)","1/106",0.339858241535628,0.414357438531956,0,0,2.45108225108225,2.64527337243436,"PDGFC"
"regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)","1/106",0.339858241535628,0.414357438531956,0,0,2.45108225108225,2.64527337243436,"PDGFC"
"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)","1/108",0.345024755869224,0.419780119640889,0,0,2.4050248816604,2.5592810332077,"PPARG"
"lipid transport (GO:0006869)","1/109",0.347593023677684,0.42115005358458,0,0,2.38263588263588,2.51778603240942,"SLC10A5"
"modulation of chemical synaptic transmission (GO:0050804)","1/109",0.347593023677684,0.42115005358458,0,0,2.38263588263588,2.51778603240942,"OPHN1"
